datetime (Veh/5 Minutes),True,LSTM,GRU
2019-05-20 00:00,50,51,54
2019-05-20 00:05,50,43,43
2019-05-20 00:10,50,41,36
2019-05-20 00:15,50,37,30
2019-05-20 00:20,46,34,26
2019-05-20 00:25,42,40,32
2019-05-20 00:30,39,35,33
2019-05-20 00:35,35,28,27
2019-05-20 00:40,31,27,23
2019-05-20 00:45,27,26,21
2019-05-20 00:50,28,30,25
2019-05-20 00:55,30,26,24
2019-05-20 01:00,32,22,20
2019-05-20 01:05,34,20,16
2019-05-20 01:10,36,20,14
2019-05-20 01:15,38,17,12
2019-05-20 01:20,31,24,16
2019-05-20 01:25,25,24,21
2019-05-20 01:30,19,21,22
2019-05-20 01:35,21,20,20
2019-05-20 01:40,24,16,16
2019-05-20 01:45,27,15,13
2019-05-20 01:50,25,22,14
2019-05-20 01:55,23,21,16
2019-05-20 02:00,22,21,17
2019-05-20 02:05,21,21,17
2019-05-20 02:10,20,24,20
2019-05-20 02:15,19,24,22
2019-05-20 02:20,18,24,23
2019-05-20 02:25,17,22,21
2019-05-20 02:30,16,22,19
2019-05-20 02:35,18,23,18
2019-05-20 02:40,20,24,17
2019-05-20 02:45,22,22,16
2019-05-20 02:50,25,27,19
2019-05-20 02:55,28,31,26
2019-05-20 03:00,32,28,25
2019-05-20 03:05,29,25,22
2019-05-20 03:10,26,27,20
2019-05-20 03:15,24,31,23
2019-05-20 03:20,27,30,23
2019-05-20 03:25,30,30,23
2019-05-20 03:30,33,30,23
2019-05-20 03:35,35,33,26
2019-05-20 03:40,38,34,28
2019-05-20 03:45,41,30,25
2019-05-20 03:50,40,34,26
2019-05-20 03:55,39,33,26
2019-05-20 04:00,39,38,31
2019-05-20 04:05,40,37,33
2019-05-20 04:10,42,42,39
2019-05-20 04:15,44,38,38
2019-05-20 04:20,42,34,31
2019-05-20 04:25,41,41,32
2019-05-20 04:30,40,40,33
2019-05-20 04:35,44,40,34
2019-05-20 04:40,48,38,31
2019-05-20 04:45,53,40,32
2019-05-20 04:50,56,40,33
2019-05-20 04:55,59,40,34
2019-05-20 05:00,63,38,32
2019-05-20 05:05,73,38,29
2019-05-20 05:10,83,41,31
2019-05-20 05:15,93,52,43
2019-05-20 05:20,106,48,48
2019-05-20 05:25,120,46,48
2019-05-20 05:30,134,53,53
2019-05-20 05:35,140,47,48
2019-05-20 05:40,146,45,42
2019-05-20 05:45,152,45,38
2019-05-20 05:50,162,46,36
2019-05-20 05:55,173,49,39
2019-05-20 06:00,184,49,42
2019-05-20 06:05,199,49,45
2019-05-20 06:10,215,47,43
2019-05-20 06:15,231,49,43
2019-05-20 06:20,252,44,36
2019-05-20 06:25,273,57,45
2019-05-20 06:30,295,61,57
2019-05-20 06:35,298,62,66
2019-05-20 06:40,301,59,66
2019-05-20 06:45,304,63,66
2019-05-20 06:50,317,58,59
2019-05-20 06:55,330,54,50
2019-05-20 07:00,343,61,49
2019-05-20 07:05,362,60,49
2019-05-20 07:10,381,68,57
2019-05-20 07:15,400,67,62
2019-05-20 07:20,406,72,68
2019-05-20 07:25,412,75,73
2019-05-20 07:30,419,73,72
2019-05-20 07:35,415,79,74
2019-05-20 07:40,411,83,77
2019-05-20 07:45,408,97,88
2019-05-20 07:50,388,100,97
2019-05-20 07:55,369,109,106
2019-05-20 08:00,350,110,110
2019-05-20 08:05,348,118,116
2019-05-20 08:10,346,129,125
2019-05-20 08:15,344,140,139
2019-05-20 08:20,351,152,154
2019-05-20 08:25,359,159,167
2019-05-20 08:30,367,164,175
2019-05-20 08:35,363,179,186
2019-05-20 08:40,359,194,200
2019-05-20 08:45,355,187,201
2019-05-20 08:50,344,197,203
2019-05-20 08:55,334,205,206
2019-05-20 09:00,324,216,214
2019-05-20 09:05,323,229,225
2019-05-20 09:10,322,237,235
2019-05-20 09:15,321,254,249
2019-05-20 09:20,327,264,262
2019-05-20 09:25,333,277,273
2019-05-20 09:30,340,297,289
2019-05-20 09:35,354,303,300
2019-05-20 09:40,368,314,309
2019-05-20 09:45,383,322,316
2019-05-20 09:50,356,335,324
2019-05-20 09:55,329,350,336
2019-05-20 10:00,302,364,351
2019-05-20 10:05,296,386,372
2019-05-20 10:10,290,402,394
2019-05-20 10:15,284,408,409
2019-05-20 10:20,294,414,420
2019-05-20 10:25,305,421,429
2019-05-20 10:30,316,409,426
2019-05-20 10:35,317,408,421
2019-05-20 10:40,318,401,412
2019-05-20 10:45,320,390,400
2019-05-20 10:50,315,391,392
2019-05-20 10:55,310,391,389
2019-05-20 11:00,305,376,383
2019-05-20 11:05,315,368,374
2019-05-20 11:10,325,360,364
2019-05-20 11:15,336,357,356
2019-05-20 11:20,329,349,349
2019-05-20 11:25,323,345,344
2019-05-20 11:30,317,343,341
2019-05-20 11:35,313,334,337
2019-05-20 11:40,309,329,332
2019-05-20 11:45,306,314,321
2019-05-20 11:50,303,313,314
2019-05-20 11:55,301,313,310
2019-05-20 12:00,299,313,310